Valuation Date,Curve Name,Date,Value,Label
2014-07-03,AED-3ME,2019-07-03,0.023676780249365526,5Y
2014-07-03,AED-3ME,2018-07-03,0.019817961517743034,4Y
2014-07-03,AED-3ME,2017-07-03,0.015629061687278033,3Y
2014-07-03,AED-3ME,2015-01-03,0.007135952372285672,6M
2014-07-03,AED-3ME,2016-07-03,0.011011842633980307,2Y
2014-07-03,AED-3ME,2015-07-03,0.008592340671505234,1Y
2014-07-03,AED-3ME,2014-10-03,0.00712775755548118,3M
2014-07-03,AED-3ME,2024-07-03,0.03682454412267256,10Y
2014-07-03,AED-3ME,2014-08-03,0.004141717297929684,1M
2014-07-05,AED-3ME,2021-07-05,0.029863713523791843,7Y
2014-07-05,AED-3ME,2015-04-05,0.007118085042010296,9M
2014-07-05,AED-3ME,2019-07-05,0.02371794898233973,5Y
2014-07-05,AED-3ME,2018-07-05,0.019977115930388756,4Y
2014-07-05,AED-3ME,2017-07-05,0.015692570784399503,3Y
2014-07-05,AED-3ME,2015-01-05,0.007135952372285644,6M
2014-07-05,AED-3ME,2016-07-05,0.011139139121817515,2Y
2014-07-05,AED-3ME,2015-07-05,0.008513493886528068,1Y
2014-07-05,AED-3ME,2014-10-05,0.0071277575554812836,3M
2014-07-05,AED-3ME,2024-07-05,0.03685267405506672,10Y
2014-07-05,AED-3ME,2014-08-05,0.004141717297929848,1M
2014-07-07,AED-3ME,2021-07-07,0.029527049694235367,7Y
2014-07-07,AED-3ME,2015-04-07,0.0071278178196600974,9M
2014-07-07,AED-3ME,2019-07-07,0.02329387468168702,5Y
2014-07-07,AED-3ME,2018-07-07,0.019540400824834894,4Y
2014-07-07,AED-3ME,2017-07-07,0.015396052108372547,3Y
2014-07-07,AED-3ME,2015-01-07,0.007146984831435161,6M
2014-07-07,AED-3ME,2016-07-07,0.010957146563991207,2Y
2014-07-07,AED-3ME,2015-07-07,0.008637995856108088,1Y
2014-07-07,AED-3ME,2014-10-07,0.007060130058408428,3M
2014-07-07,AED-3ME,2024-07-07,0.03630514298641349,10Y
2014-07-07,AED-3ME,2014-08-07,0.0041417172979311715,1M
2014-07-08,AED-3ME,2021-07-08,0.02900271883628591,7Y
2014-07-08,AED-3ME,2015-04-08,0.006595321582877864,9M
2014-07-08,AED-3ME,2019-07-08,0.022882866516887868,5Y
